"","iqr_dailylunges","iqr_biomass","iqr_retained","iqr_preyplastic","species"
"1",127.47447284288,9440.60734585222,19675.2046381996,7080455.50938917,"bw_krill"
"2",248.860454493548,18608.0041773767,47942.4852153849,13956003.1330325,"bw_krill"
"3",382.381671241835,29740.2453865336,86791.4874150793,22305184.0399002,"bw_krill"
"4",85.5267051616646,3669.68503256733,6531.02997361323,2752263.7744255,"bp_krill"
"5",205.880763565248,8339.84974223894,16149.7883357258,6254887.30667921,"bp_krill"
"6",377.674547741483,16695.5315073435,41262.339516474,12521648.6305076,"bp_krill"
"7",272.946587677661,4735.88010068325,8145.74942734939,3551910.07551244,"mn_krill"
"8",557.80011075032,9511.83544260252,16735.3333254245,7133876.58195189,"mn_krill"
"9",821.161931818182,15959.383565069,35390.6932342275,11969537.6738017,"mn_krill"
"10",77.7262532074057,11215.8670074888,2045.89029592447,2803966.7518722,"mn_fish"
"11",125.974547062164,19980.341835177,4009.3380314028,4995085.45879426,"mn_fish"
"12",205.071675426879,33608.6964953182,7158.47091475171,8402174.12382955,"mn_fish"
